user_id,product_id,product_name,category,price,rating,quantity,purchased,timestamp
U0001,P0086,Perfume - Variant 2,Beauty,33.4,2,3,1,2024-05-06
U0001,P0119,Fitness Tracker - Variant 3,Sports,46.34,3,2,1,2024-12-06
U0001,P0112,Football - Variant 2,Sports,71.75,4,1,1,2024-03-25
U0001,P0092,Nail Polish Kit,Beauty,23.01,2,1,1,2024-07-14
U0001,P0093,Nail Polish Kit - Variant 2,Beauty,18.13,4,1,0,2024-12-08
U0001,P0118,Fitness Tracker - Variant 2,Sports,32.35,3,1,0,2024-03-03
U0001,P0090,Face Mask Set,Beauty,19.72,3,3,0,2024-04-02
U0001,P0109,Water Bottle - Variant 2,Sports,45.64,4,1,1,2024-02-12
U0001,P0042,Backpack - Variant 2,Fashion,23.08,2,1,1,2024-10-03
U0001,P0089,Hair Dryer - Variant 3,Beauty,27.59,2,3,1,2024-12-30
U0001,P0061,Blender - Variant 2,Home & Kitchen,27.47,3,2,0,2024-09-06
U0001,P0110,Water Bottle - Variant 3,Sports,57.47,4,2,0,2024-11-22
U0001,P0113,Football - Variant 3,Sports,36.42,3,3,0,2024-02-24
U0001,P0142,Children's Storybook - Variant 2,Books,18.29,2,1,0,2024-04-10
U0001,P0064,Bed Sheets Set,Home & Kitchen,92.94,1,2,0,2024-07-26
U0001,P0113,Football - Variant 3,Sports,36.42,4,3,1,2024-06-29
U0001,P0084,Lipstick - Variant 3,Beauty,13.19,3,3,1,2024-07-02
U0001,P0078,Sunscreen SPF50,Beauty,33.33,4,3,1,2024-06-18
U0001,P0114,Tennis Racket,Sports,49.81,4,1,1,2024-10-04
U0001,P0145,Poetry Collection - Variant 3,Books,15.46,3,3,0,2024-05-18
U0002,P0005,Bluetooth Speaker - Variant 3,Electronics,53.78,4,1,0,2024-07-07
U0002,P0011,USB-C Hub,Electronics,143.0,3,1,0,2024-01-05
U0002,P0016,Gaming Mouse,Electronics,38.63,4,2,1,2024-03-14
U0002,P0012,USB-C Hub - Variant 2,Electronics,36.09,2,1,1,2024-10-31
U0002,P0022,Webcam,Electronics,106.5,5,2,1,2024-05-17
U0002,P0121,Skipping Rope - Variant 2,Sports,74.87,3,2,0,2024-03-27
U0002,P0105,Resistance Bands - Variant 2,Sports,18.03,2,2,0,2024-02-17
U0002,P0095,Beard Trimmer - Variant 2,Beauty,23.23,3,1,1,2024-04-01
U0002,P0014,Power Bank,Electronics,70.68,4,2,1,2024-12-21
U0002,P0127,Self-Help Book,Books,13.13,4,2,1,2024-07-07
U0002,P0085,Perfume,Beauty,30.06,3,3,1,2024-01-08
U0002,P0082,Lipstick,Beauty,12.97,4,2,1,2024-03-12
U0002,P0017,Gaming Mouse - Variant 2,Electronics,95.82,4,1,0,2024-09-27
U0002,P0001,Wireless Earbuds,Electronics,126.81,2,3,1,2024-08-13
U0002,P0031,Cotton T-Shirt,Fashion,22.06,3,3,0,2024-08-08
U0002,P0103,Dumbbell Set - Variant 2,Sports,24.27,2,3,1,2024-09-02
U0002,P0002,Wireless Earbuds - Variant 2,Electronics,56.91,5,3,1,2024-04-17
U0002,P0007,Smartwatch - Variant 2,Electronics,74.04,4,3,1,2024-01-26
U0002,P0130,Cookbook,Books,25.89,1,1,0,2024-08-01
U0002,P0057,Coffee Maker - Variant 3,Home & Kitchen,95.59,4,1,0,2024-10-11
U0002,P0080,Shampoo,Beauty,13.54,3,2,1,2024-11-11
U0002,P0025,Tablet - Variant 2,Electronics,41.3,5,2,1,2024-04-05
U0002,P0023,Webcam - Variant 2,Electronics,79.6,4,2,1,2024-01-22
U0002,P0097,Body Lotion,Beauty,42.54,4,3,1,2024-03-23
U0002,P0077,Face Moisturizer - Variant 2,Beauty,44.26,5,1,1,2024-06-15
U0002,P0031,Cotton T-Shirt,Fashion,22.06,3,2,0,2024-11-15
U0002,P0118,Fitness Tracker - Variant 2,Sports,32.35,4,1,1,2024-09-30
U0002,P0001,Wireless Earbuds,Electronics,126.81,3,3,0,2024-12-14
U0002,P0078,Sunscreen SPF50,Beauty,33.33,5,2,1,2024-11-14
U0002,P0014,Power Bank,Electronics,70.68,2,3,1,2024-08-01
